高新万达广场	工业南路与会展东路交汇处	117.1277760,36.6842760
大地藏元时代微公馆	胜利西路绍一中高中部对面	120.5537900,30.0044840
星河传奇	宝坻北路与兴海路交口	117.3507030,39.7356230
海淀幸福里	北清路海淀幸福里	116.3365010,40.0341500
天赋龙庭商铺	成都市龙泉驿区西河镇成洛大道以北	104.1575640,30.6486180
历山名郡	文化西路14号（历山路与文化西路路口南100米路西）	117.0321170,36.6532110
山水壹号	常青路9号	121.4913910,31.1537140
金科博翠府	宏声大道99号	107.3816980,29.6874400
中安国际金属城	嘉兴市中环东路周安路399号	120.7811280,30.7795420
德信九龙城	汉城北路，德信九龙城销展中心	116.9380920,34.7526000
奥园铂翠中央	沿江快速路与中大路交汇处	115.9335255,28.7212618
苏地2017-WG-35号地块	园区唯澄路与亭青街交汇处	120.7291560,31.3739540
华信聚福园	市府东路，黄墩河畔	118.3560770,34.3696120
华润崑崙御	生态西街与丙四十六路交汇	125.3754280,43.7786650
长江尚品	荆州太岳路与南湖路交汇处查看地图	114.3083520,30.5213130
万科翡翠国际	云岩中华北路六广门公交站旁查看地图	106.7111280,26.5916230
睢宁学府茗苑	睢宁县树人高中南100米	117.9240170,33.8984100
利信阳光丽景	龙湖天山路与练江路交界处查看地图	116.7210230,23.3783160
华中-尚玉园	阳光北大街以东、隆兴中路以北，创业路以南，利家街以西	115.4808760,38.9007990
国际一花园	西青路198	120.2963420,31.6424620
书香门第	城西二路与城南四路交汇处	120.4313310,36.3957120
杰翔运铎嘉园	汉阳大街龚家岭公交站旁	114.4396670,30.5923170
白云美镇	綦江县沱湾上升街（江南世家大门对面）	106.6605000,29.0135830
奥山禾堂樾里	新气象路奥山禾堂樾里	120.7534290,30.7054070
融创苏州壹号院	越溪街道吴郡路6号	120.6152860,31.1840410
首创-天阅山河品牌馆	大瓦窑地铁站北侧	116.2404800,39.8594700
安联天颂	槐安西路与中华南大街交口300米路南	114.4830080,38.0241960
山坡上的洋房	风华南路与翟北路交汇处东100米	117.1866210,34.2114560
大沥碧桂园华府	南海大沥镇大道3号（大沥镇政府旁	113.1093390,23.1154290
荣盛盛京绿洲	蒲丰路38号	123.4171060,41.9529200
如歌花苑	万寿路88号	120.5775550,32.4025790
时代悦府	海宁大道西侧、洛塘河北侧	120.6882330,30.5190590
江南一品	育才路(通元镇汽车站西南侧约250米)	120.5564620,30.6188150
德弘天下华府	文锦北路1058号（田贝三路与文锦路交汇处东侧）	114.1253600,22.5614950
顺达花园	崖州大道366号	109.1777540,18.3630160
五洲东方墅	珠海市斗门区珠峰大道1286号（尖峰山畔）	113.3121076,22.1792221
佳兆业香山熙园	东升镇广福大道68号	113.2770250,22.6128310
荔城公馆	武清泉达路与前进道交口	117.0272500,39.3694400
永和祥园	大理下关洱河北路下关镇龙泉八组查看地图	102.7326890,25.0968700
中铁华侨城和园	南五环南海子公园西侧约500米	116.4459910,39.7765840
汇川大象城	运河街道办事处瑞兴路与邳新路交汇处	117.9800390,34.3120380
碧桂园天汇	槐安西路与苑东街交汇处北行100米路西	114.4174570,38.0276990
沈北时代广场	蒲田路与时空东街交汇处	123.4148500,41.9083010
天玺园	博山区人民路与金晶路	117.8486170,36.5033810
富盈御墅莲峰	东莞市长安镇咸西社区莲峰北路	113.8074530,22.8171020
龙口五洲国际商贸城	龙口南山路与龙泉路（牟黄路）交汇处	120.5047370,37.6305500
保利中交雲上	翔安区刘五店滨海东大道与东界路交叉口东侧	118.1904960,24.6820400
中建国熙台	山大路中建国熙台	117.0512610,36.6674060
尚品美地城	锦业路尚品美地城	108.8511690,34.1942630
理想城东地块	海博路以东、航天路以北	121.5017100,37.4333110
郡源悦城	黄河北大街286号	123.4023090,41.9052920
天房崇德园	红旗南路263号	117.1563340,39.0878810
北辰大厦	京津公路与龙洲道交口	117.1055810,39.2063300
万科保利翡翠和悦	剑南大道万科保利翡翠和悦	104.0471050,30.5933480
海滨花园	南澳后宅镇海滨路国信大厦北侧	117.0238770,23.4163980
旺德府恺悦国际	三一大道485号	113.0565620,28.2293520
水一方-观河	泾渭五路中段	109.0146290,34.4450410
金汇瀚玉城	舜华南路金汇瀚玉城	117.1443620,36.6361150
智慧谷	科技园高新大道72号（地铁3号线小淀站旁）	117.2660360,39.2278830
金地悦峰	同安路866号	120.4364690,36.1053300
世茂璀璨倾城	红旗路与御井路十字向北500米	108.4709840,34.2983120
鸿隆世纪广场	罗湖区和平路3001号	114.1142120,22.5434180
星都-梅沙天邸	盐梅路星都·梅沙天邸	114.3149840,22.5977590
爱法山水国际	黄海大道西1号	120.4484150,32.5085290
盛世园田居	桃仙大街6号	123.5058350,41.6937400
八号府邸	木塔寺遗址以西（丈八北路以东，北倚科技六路，南临科技七路）	108.8960500,34.2114740
银河丽湾	百通路88弄	121.4933520,30.9170690
沣水云间	镐京大道与丰镐大道交汇处向南500米（诗经里小镇以东）	108.7457830,34.2328800
金港广场	金平海滨路西侧	116.7185890,23.3548180
蟠龙观邸	西坪大道与龙腾路交叉口西南200米	107.2338970,34.4014360
兰亭玥岛	天心区新柠路2号（芙蓉路天虹百货旁）	112.9845010,28.1332250
雪山万科城	历城区世纪大道与凤鸣路交汇处	117.1869300,36.6884270
华府御墅	北环路与津围公路交口	117.4015100,40.0538880
桃园青草湾	罗阳镇青草湾A-08地块	119.7165850,27.5647240
红星国际广场	广福路与陆广路交汇处	102.6940400,25.0047740
马莲道中里	广安门外大街	116.3470110,39.8899220
松江区洞泾镇新农河三号-2地块	东至规划一路，南至长兴东路，西至农田，北至蔡家浜东路	121.5829780,31.0655930
弘阳时光里一区	蓝海路弘阳时光里	118.7103860,32.1812910
宏程国际广场	联通路宏程国际广场	118.0170510,36.8331270
湘江富力城	雨湖长沙南·湘江畔·经济开发区沿江路和九昭东路交会处西南角。查看地图	112.8046070,28.5037880
城色	广东省深圳市龙华区骏景华庭骏景华庭(沙吓二村一巷)	114.0403930,22.6294760
风和日丽生活印象	农业路与煤仓北路交汇处	113.6128780,34.7737600
恒大滨江华府	浦东源深路66号	121.5273470,31.2415910
和昌熙溪里	明溪路与苏街交汇处（越溪商厦北200米）	120.6025830,31.2104390
博林学苑	五四路恒祥大街交口惠友生活广场北侧	115.4974800,38.8861910
融创望江府	奥体中心北门往北500米（绿茵北路）路西	108.8840780,34.2052910
余姚万达广场	开丰路与四明西路交接处	121.1353490,30.0291870
卓越观山	金星大道与含光路交汇处西北角（岳麓区政府正对面）	112.9314030,28.2366610
曦园	北京路与鲁泰大道交汇处往南	117.9970320,36.8494260
国信紫云臺	伊春路168号	120.3962780,36.1088560
景山一号	万景山路与聚富路交汇处	121.9173410,29.8748300
富春山居	三郎镇茶园村7组	103.4821780,30.7881460
合峰东岸名苑	容桂容桂街道高黎社区居委会外环路合峰东岸名苑	113.3503520,22.7769380
中央胜境	硅谷大街与文体六路交汇	125.1375460,43.7359370
天城府天著	石桥路与新风路交叉口	120.1951400,30.2970900
建城丽都	西炮台南路与新石路交汇处路西	121.3646830,37.5441620
山语银城	梁溪路800-2号(鸿桥路与大池路交叉口西南侧)	120.2462210,31.5613810
越秀湘江星汇城	潇湘大道与月亮岛路交汇处	112.9065340,28.2866390
中南闻荷府	嘉兴市秀洲区王江泾镇运河东路与北虹路的交汇处	120.7239440,30.8683410
中天-山水间	花溪田园南路	106.6666740,26.3722820
东方星城	金晶大道176号（原张钢地块）	118.0680040,36.8220070
金都-南德大院	嘉兴南溪路与庆丰路交叉口	120.8005560,30.7374790
清馨花园	正定新区正灵公路与曲阳桥交口西北角路北	114.5627920,38.1687500
望湖嘉苑	龙川路与美圣路交口处	117.3016440,31.8072820
东城锦楠府	环城南路东段2888号（人民南路交叉口）	121.5875900,29.8405300
曙光大邸	曙光中路248号城南东路交汇处	113.0011380,28.1739040
欧城锦三角	旅游区黄海大道与凤阳路交汇东北处（海阳汽车站西北向1公里）	121.1976440,36.7684640
秀兰花漫里	乐凯北大街与北三环交叉口北行2公里路西	115.4275950,38.9410310
中邦城市花园	广东省珠海市白蕉镇城东白蕉路3118号	113.3246490,22.2312790
江南景园	陶堰镇平陶公路东侧，幼儿园西侧	120.7267810,29.9691590
凯川紫依云	巴文化公园旁（轻轨大山村站）	106.8371600,29.3620250
御景天成	华容华容区丁桥村316国道北侧（9号路东侧）查看地图	114.5533430,30.5161720
中海湖畔岚庭	虹阳路1299号	113.3764930,22.0777100
泰达印象	海景大道西侧，海景一路东侧	117.5131630,38.8315440
山屿海幸福城	湖州市安吉县鄣吴镇玉华山	119.5331090,30.7624630
一曲晴江	巴滨路·李家沱大桥旁	106.5319620,29.4691410
旭辉银盛泰博观云著	金宇路旭辉银盛泰博观云著	116.5904870,35.4378810
碧桂园泉都汇	齐河欧乐堡斜对面（309国道南侧）	120.4278240,36.8785260
澜山壹号	南明油榨街101号（锦绣家园对面）	106.7395020,26.5614120
湖悦天境	暨阳湖生态园南侧	120.5339250,31.8402990
名城星岸	端州三路城东车站对面	112.4896910,23.0583130
汉津阳光城	奓山街千子山大道与常欢大道交汇处	114.0358400,30.4451130
上坤云栖时光	书香路169号	120.6206240,31.3862640
维罗纳小镇	二环蒲阳路都市美好家园旁（壹街区青白江北）	103.6551690,31.0112400
大家雲山美庐	德清武康环狮子山路东侧	119.9622740,30.5396430
如东熙悦	富春江路，近黄山路	121.1671350,32.3355020
美景天城	世纪迎宾大道与石化路交汇处	113.7182000,34.7286980
天诚大厦	清扬路26号（文隆大厦旁）	120.3003470,31.5620640
公用瑞马禧悦	建设路以西，任兴路以北	116.5984800,35.4489680
隆基泰和铂悦山	北京路66号(地铁二号线书房站,永辉超市对面)	104.2440520,30.5696510
中国原点龙安居国际家居建材城	西铜铁路以西（中国原点新城景观大道及泾四路交汇处）	108.9666190,34.4553910
经典西悦城	崇阳大道与乡道交叉口东北米	103.7425720,30.6343850
联诚雅郡	邻铁交通便利优质教育资源	112.8294330,28.3606500
珠港花苑	集群路55号	118.8087640,32.3172460
四新中央生活区	地址：江城大道与四新北路交汇处（江城大道四新北路公交站）	114.2235640,30.5218550
美林湖	山前大道168号	113.0347300,23.4422980
红街广场	新风路与新井路交汇处,火车东站北	120.2128920,30.2911240
蓝光公园华府	成龙大道金枫路	104.1886920,30.5667400
姑苏金茂悦	金枫路与竹窝路交叉口	120.5315380,31.2480580
明坊小区	兴中路6号	108.9350510,34.2829350
颐养乐福颐心居	平原新区郑州北黄河畔查看地图	113.6888390,34.7950800
北海丽景	北海路	125.3684010,43.8411380
怡和缘	莱芜市龙潭东大街滨河花苑彩虹桥东	117.7340820,36.2272210
金科博翠书院小镇	绿博大道与广惠街交汇处南800米	113.9720310,34.7510820
熹樾	东至城西生活路，南至状元坊小学，西至城西干道，北至栖凤佳苑	119.0174780,31.6573060
重庆天地雍江御庭	化龙桥瑞天路51号(原化龙桥嘉陵路)	106.5042340,29.5520790
中海万锦熙岸华庭	金牛西路中海万锦熙岸华庭	114.3943830,22.7068710
华浮宫桂园	环湖西路与湖滨路西北角	108.9815010,34.3982850
阳光80公寓	城南电子正街与电子三路十字以南（紫薇城市花园正对面）	108.9206100,34.2013680
奥山国香樾里	王店镇梅里小学对面（花园路西侧）	120.7224780,30.6297670
山语墅	鄞州龙观乡	121.5679510,29.8472480
江南左岸	广陵区渡江南路110号	119.4456400,32.3709420
水墨兰庭	小站镇红旗路小站一中东侧	117.4432900,38.9199110
华润八号院	潮白河畔右堤路	116.7268550,40.2766080
鑫隆墅苑	嘉兴市嘉善县天凝洪溪镇中心	120.8427550,30.9058540
龙府北郡	北二环与明光路交汇处向南200米	108.9319620,34.2955250
枫林佳苑	景洪西双版纳万达国际度假区西200米查看地图	102.7047100,24.9822200
凤凰墅	海南省三亚市天涯区三亚天涯区三亚湾路160号	109.4506590,18.2874050
盛世豪门	连江县丹凤东路与温泉路交汇处西南角	119.5496330,26.2106540
琥珀名城沁园	瑶海-龙岗-吴敬梓路	117.3798350,31.8694150
华润橡树湾万象公馆	政和大道与锡澄路交汇处	120.2946120,31.6767950
中南金玉堂	学院路中南金玉堂	113.5124360,34.7081650
万科汉阳国际A区	康达街10号	114.1927550,30.5479010
富强小区	东岗路青园街交口南行200米路东	114.5180490,38.0153310
城投置地梧桐栖	致兴二路城投置地梧桐栖	104.1280820,30.7027920
盛世景湾	乐亭县金融街东延中段	118.9044890,39.4271300
静安曙光雅苑	包河区桐城南路西侧	117.2811250,31.8382440
橄榄郡	镇政府路东侧，石各庄北外环路南侧	117.3098900,39.7483320
印象富民上河图	文昌路湿地公园旁	103.2710830,25.5600830
卓洲悦园	大亚湾西区上杨	114.4773860,22.7688030
中南-玖峰花苑	昆阳镇人民路与白石街交汇处（玖峰花苑营销中心）	120.5544510,27.6614440
宝地玺琅府	玉前街宝地·玺琅府	119.9455940,37.2064820
丽江花园如英居	沿沙东路63号	113.2990420,23.0360750
桃花源山庄	越城区陶堰镇人民政府向东，104国道向南	120.7323760,30.0189250
陕西中集车辆园	汽车商贸物流园内（312国道与咸旬高速引道交叉	108.7388010,34.3183500
融创唐镇项目	创新中路	121.6709890,31.2102890
东方星座大厦	园区苏州大道西169号查看地图	120.6673480,31.3154720
国光纳帕谷	香雪海路19号	103.6259940,31.0085730
甬山书苑	江口街道江南路33号（江口中心小学正对面）	121.4119950,29.7224120
碧桂园北城春晓小区	梧桐街道秋华路与春晓路交叉口东北角	120.5444060,30.6611390
重庆洺悦府	大石坝石门公交站旁	106.4816790,29.5688060
碧桂园珑悦	联合路和东陶街交汇处	123.5158420,41.8411910
伟业滨河名墅	体育路与苏州河路交界处	120.6218180,31.1459360
香水湾	石丰路与石兆街交口西北角	114.5993590,38.0750770
佳兆业城市广场	西山区人民西路和海源中路交汇处	102.6604810,25.0433600
阳光城恒联-文澜湾	蒲河路与黄土坎街交会处	123.0684090,41.7859070
千竹府	慈溪周巷镇环城北路	121.1370880,30.1857070
建曙高尔夫1号	高尔夫1路	114.4409520,22.7898220
中海凤凰璟园	中海凤凰熙岸	120.3261890,31.4839670
灞业大境	长乐东路地铁一号线长乐坡站向南500米路西	109.0314140,34.2646930
柏林春天	后卫寨地铁站西500米	108.9472920,34.2699690
碧桂园正荣悦玺	包公大道与烈山路交口北500米西侧	117.3944030,31.8919430
樱花小筑	之江路199号	119.3776870,29.5338210
红枫中央大街	新城路与红旗路交叉口南150米	106.4714740,26.5553040
龙山花园	鹤山路与龙山西路交汇处	120.4512610,36.3980510
中垠紫金观邸	中山门大街698号	118.8535460,32.0360310
